Date,Person,Party,Is Local,Question
08/11/2023,Ferguson,Labour,0,"Considering Bexley's fly-tipping and litter problem, will the Council return all bins removed from areas around the Borough for non-financial reasons separate to the funding received for a new allocation of bins?"
08/11/2023,Ferguson,Labour,0,"As Bexley already has a £7m overspend which looks set to continue rising, what is the projected figure by the end of the financial year and how will it be addressed?"
08/11/2023,Ferguson,Labour,0,"With Climate Change having more of an effect, what measures does Bexley have in place for dealing with extreme weather conditions and how they affect residents?"
08/11/2023,Francis,Labour,0,Will the Leader of the Council confirm that she is part of the LGA Conservative Group Executive that published the LGA Conservative Group manifesto in September 2023 which calls on the Government to remove caps on Council Tax?
08/11/2023,Francis,Labour,0,Will the Cabinet Member confirm which schemes within the current capital programme are anticipated to experience overspends?
08/11/2023,Francis,Labour,0,Will the Cabinet Member confirm how many residents have requested to opt out of Council Tax reminders received by text message and email?
08/11/2023,Gill,Labour,1,"Could the Cabinet Member please state the progress to introducing a trial of 1-hour free parking in Mill Road Car Park, Northumberland Heath?"
08/11/2023,Hall,Labour,0,Will the Cabinet Member for Resources provide details of the costs of the judicial review legal challenge to the expansion of the ULEZ to Bexley and the whole of Greater London?
08/11/2023,Hall,Labour,0,Can the Cabinet Member for Resources give us the details of action taken to survey for RAAC on properties owned by the Council and the outcome of those surveys?
08/11/2023,Hinkley,Labour,0,Could the Cabinet Member confirm if we have made representations to Kent County Council in relation to the potential closure of the Civic Amenity site at Dartford Heath?
08/11/2023,Hinkley,Labour,0,Will the Leader of the Council confirm how many individuals elected as a London Borough of Bexley Councillor since May 2018 does she believe have been issued a fixed penalty notice for breaches of Covid-19 regulations?
08/11/2023,Jackson,Conservatives,0,Will the Cabinet Member for Places update Members on the latest performance of the waste collection service?
08/11/2023,Jackson,Conservatives,0,Can the Cabinet Member for Places tell us what progress is being made in the roll-out programme for new street waste bins?
08/11/2023,Moore,Conservatives,0,Will the Cabinet Member for Children's Services please update us on Bexley's recent Corporate Parenting Week?
08/11/2023,Moore,Conservatives,0,Will the Cabinet Member for Children's Services please tell us the latest situation regarding foster carer recruitment?
08/11/2023,Ogundayo,Labour,0,"Could the Cabinet Member state how many tonnes of waste are collected from our streets, from kerbside collection, from Bexley litter bins, from fly tipping and from litter picked from the roads and pavements?"
08/11/2023,O'Hare,Conservatives,0,Could the Cabinet Member update us on the action the Council and partners have taken to address crime and disorder issues around Abbey Wood station?
08/11/2023,O'Hare,Conservatives,0,Will the Cabinet Member for Children's Services please tell us how the current number of children in the care of Bexley compares with this time last year?
08/11/2023,Perfect,Labour,0,Could you outline what surveys have been undertaken to determine if any of the buildings owned by the Council have been affected by RAAC?
08/11/2023,Perfect,Labour,0,Could you please update us on the current exclusion rates within the Borough and outline the work the Council is doing to eradicate those numbers and move towards becoming a no exclusions Borough?
08/11/2023,Reader,Conservatives,0,Can the Cabinet Member for Growth lay out the plans for the £1.3m secured from the UKSPF to support local businesses?
08/11/2023,Slaughter,Conservatives,0,Would the Cabinet Member for Places tell us what happens to each of the recycling waste streams collected from homes in Bexley?
08/11/2023,Ward-Wilson,Conservatives,0,Will the Cabinet Member for Places explain what are the financial benefits to residents if they put rubbish in the recycling bins rather than the residual waste bin?
08/11/2023,Ward-Wilson,Conservatives,0,Can the Cabinet Member for Resources provide an update on the support being provided to residents with costs of living pressures?
24/04/2024,Chris Taylor,Conservatives,0,Can the Cabinet Member for Education provide an update on the Safety Valve programme?
24/04/2024,Adams,Conservatives,0,Can the Leader of the Council advise the financial and resource implications of continuous questions/ complaints and FOIs from some residents?
24/04/2024,Amaning,Labour,0,How are the Council managing the considerable number of emergency works from private utility companies which are causing excessive traffic and disruption across the Borough?
24/04/2024,Amaning,Labour,0,Could the Cabinet Member confirm that assessments for children with autism are being made in the recommended timeframes?
24/04/2024,Asunramu,Labour,0,Can the Cabinet Member advise on what measures are being undertaken to deal with the record overspend of £13m in Children’s Services as reported in the latest budget monitoring report?
24/04/2024,Asunramu,Labour,0,Can the Cabinet Member confirm what funding will be needed to deal with actions identified from the recent disappointing SEND area inspection report?
24/04/2024,Asunramu,Labour,0,"Can the Cabinet Member please outline the Council’s plan to ensure the safety of residents and visitors to Bexley, around the lakes, ponds, canals, and Thames paths that exist across the Borough?"
24/04/2024,Bacon,Conservatives,0,Can the Cabinet Member for Places update the Council on the progress with installing EV charging points across Bexley?
24/04/2024,Ball,Labour,0,Can the Cabinet Member tell us how many libraries are likely to be Council run by the end of the Administration?
24/04/2024,Ball,Labour,0,"While levels of crime in Bexley remain historically low, why then is recorded rate of Domestic Abuse in Bexley much higher than many other boroughs?"
24/04/2024,Ball,Labour,0,Could the Cabinet Member update Members on what is the relationship like between Bexley Council and the key local residential house building companies?
24/04/2024,Bishop,Conservatives,0,Will the Cabinet Member for Children’s Services please update us on foster care recruitment?
24/04/2024,Borella,Labour,0,Can the Cabinet Member update Members on the Council response to the recent TfL consultation on the proposed DLR extension to Thamesmead?
24/04/2024,Borella,Labour,1,Can the Cabinet Member confirm the new arrangements for the management of Hurst Community Centre?
24/04/2024,Borella,Labour,0,Will Cabinet Member join me in congratulating the Mayor of London on introducing the SL3 Super Loop bus route through Bexley?
24/04/2024,Brooks,Conservatives,0,Could the Cabinet Member for Growth please update us on the work being carried out from the secured £1.3 million from the UKSPF (UK Shared Prosperity Fund) by Economic Development?
24/04/2024,Brooks,Conservatives,0,Can the Leader of the Council give her assessment of the impact of the expanded ULEZ on Bexley since 29 August 2023?
24/04/2024,Brooks,Conservatives,0,Would the Cabinet Member for Places tell us what is being done to target fly-tipping in Bexley?
24/04/2024,Brooks,Conservatives,0,Will the Cabinet Member for Places update Members on the performance of the waste collection service in Bexley?
24/04/2024,Carew,Conservatives,0,Can the Cabinet Member for Adults’ Services and Health outline the aims and his hopes for Adult Social Care Vision which has recently been adopted?
24/04/2024,Chris Taylor,Conservatives,0,Will the Cabinet Member for Children’s Services please tell us how many children are in the care of Bexley?
24/04/2024,Chris Taylor,Conservatives,0,Can the Cabinet Member for Adults’ Services and Health provide some detail on the recently launched Bexley Barbershop Project?
24/04/2024,Chris Taylor,Conservatives,0,Can the Cabinet Member for Adults’ Services and Health provide some detail on the Shared Lives Scheme which provides support for young adults?
24/04/2024,Chris Taylor,Conservatives,0,"Will the Cabinet Member for Children’s Services tell us what percentage of the Children’s Services staff are permanently employed, as distinct from being agency workers?"
24/04/2024,Curtois,Conservatives,0,Would the Cabinet Member for Growth join me in congratulating Bexleyheath BID on reintroducing the Bexleyheath night markets?
24/04/2024,Day,Labour,1,"Could the Cabinet Member provide an update following the response given at the November Council meeting on the solution to the disgraceful fly tipping at Ray Lamb Way involving CCTV, natural barriers, and the outcome of the viability assessment regarding the installation of high-quality numberplate recognition CCTV cameras?"
24/04/2024,Day,Labour,0,"Please could the Cabinet Member join me in thanking the emergency services, Orbit staff, Council staff and the community spirit and patience of Slade Green residents on the morning of Saturday 16th when a fire broke out at an Orbit property, Grange House, in Slade Green?"
24/04/2024,Day,Labour,0,Could the Cabinet Member please provide an update on the number identified and assistance given from the rough sleeper count on the 23-24h November?
24/04/2024,Day,Labour,0,"Do we have an outcome for the bid for funding from Defra which would provide funds for realignment of the ditches and installation of a natural barrier to prevent access by fly-tippers, and new culverts on Ray Lamb Way?"
24/04/2024,Ferguson,Labour,0,Can the Cabinet Member confirm how many Bexley residents have applied for a Voter Authority Certificate?
24/04/2024,Ferguson,Labour,0,What timescale does the Leader think reasonable for the BexleyCo development in Lesney Park to be initiated?
24/04/2024,Francis,Labour,0,Can the Cabinet Member confirm how many Overseas Voters have been added to Bexley’s electoral register since 16 January 2024?
24/04/2024,Francis,Labour,0,Can the Cabinet Member confirm how much of the discretionary support element of the Government’s 2023/24 Council Tax Support Fund has been administered since 1st March 2024 and how many households have received this?
24/04/2024,Hinkley,Labour,0,Can the Cabinet Member confirm whether he anticipates the Public Cabinet papers in July 2024 will propose any reductions to school crossing patrol posts?
24/04/2024,Hinkley,Labour,0,Can the Cabinet Member confirm whether he anticipates the Public Cabinet papers in July 2024 will propose any reductions to the frequency of household refuse collections?
24/04/2024,Jackson,Conservatives,0,Will the Cabinet Member for Resources give us his estimate of the number of businesses that have benefited from the freeze in the business rates multiplier for small businesses in the Borough?
24/04/2024,Jackson,Conservatives,0,Will the Cabinet Member for Education join me in congratulating the team which put on the Bexley Apprenticeship and Participation event held during Apprenticeship Week?
24/04/2024,Moore,Conservatives,0,Will the Cabinet Member for Education provide some details on the Winter and Easter Holiday Activity and Food programmes in the Borough?
24/04/2024,Moore,Conservatives,0,Will the Cabinet Member for Children’s Services please provide us with information on progress in the reorganisation of Bexley’s Children’s Centres?
24/04/2024,Nicola Taylor,Labour,0,"Could the Cabinet Member outline what discussions with NHS are being undertaken to improve healthcare capacity, in particular Erith Hospital to meet present and future healthcare demands across the Borough?"
24/04/2024,O'Hare,Conservatives,0,Can the Cabinet Member for Resources provide the details of the total amount of Council Tax collected from Bexley residents by the Greater London Authority through the precept collected by the Mayor of London?
24/04/2024,O'Hare,Conservatives,0,Can the Cabinet Member for Resources give an update on the Household Support Fund following the extension to the funding announced in the Budget on 6 March 2024 by the Chancellor of the Exchequer?
24/04/2024,Perfect,Labour,0,Can the Cabinet Member outline the ways in which the Council will ensure timely updates and actions to work effectively with parents and carers of children with EHC plans?
24/04/2024,Reader,Conservatives,0,"What is the Cabinet Member for Resources assessment of the proposed course of action by the Government to address the backlogs, delays and other problems identified with the external auditing of local authority accounts?"
24/04/2024,Slaughter,Conservatives,0,"Can the Cabinet Member for Places explain what is being done to improve the appearance of the roundabouts outside the Civic Centre and at the junctions of Albion Road with Gravel Hill, Highland Road and Townley Road?"
24/04/2024,Slaughter,Conservatives,0,Could the Cabinet Member for Places provide an update on progress with the partnership between the Council and the Lawn Tennis Association to improve public tennis courts in Bexley?
24/04/2024,Smith,Conservatives,0,Will the Cabinet Member for Places tell us what is being done by the Council to encourage TfL to introduce electric buses to more of their routes in Bexley?
24/04/2024,Ward-Wilson,Conservatives,0,Will the Cabinet Member for Education provide details on the outcome of the joint SEND area inspection?
24/04/2024,Ward-Wilson,Conservatives,0,Will the Cabinet Member for Education give an update on progress around the Shenstone Secondary School expansion?
24/04/2024,Ward-Wilson,Conservatives,0,Can the Cabinet Member for Resources provide an update on his assessment of the Council's financial position and the steps being taken over the medium term?
24/04/2024,Ward-Wilson,Conservatives,0,Can the Cabinet Member for Adults’ Services and Health update us on the new community hubs for service users with a physical disability?
24/04/2024,Ward-Wilson,Conservatives,0,Does the Cabinet Member for Adults’ Services and Health welcome the recent 6 month update on ASC Direct Payments?
24/04/2024,Ward-Wilson,Conservatives,0,Will the Cabinet Member for Children’s Services please update us on the number of children and young people being supported by the Children with Disabilities team?
17/07/2024,Amaning,Labour,0,What is being done to ensure that we reduce the rate of permanent exclusions for young people in our Borough to zero?
17/07/2024,Amaning,Labour,0,What work is being done by the Council to support and champion our Special Guardianships?
17/07/2024,Asunramu,Labour,0,Can you outline the support that the Council is providing to the four schools in Bexley that currently have deficit budgets?
17/07/2024,Asunramu,Labour,0,Can you give us an update on the safety valve and that we are still on target to meet the budgetary requirements of this programme?
17/07/2024,Asunramu,Labour,0,Could the Cabinet Member provide the latest figures for empty homes in the Borough?
17/07/2024,Asunramu,Labour,0,What work is being done to support young adult care leavers to secure suitable and affordable accommodation and prevent homelessness?
17/07/2024,Asunramu,Labour,0,What work is being done to support unaccompanied children in our care?
17/07/2024,Ball,Labour,0,"How many Member enquiries have been submitted each month for the last year, broken down by service area?"
17/07/2024,Ball,Labour,0,How many tonnes of litter have been picked up from the roads and pavements in the last year?
17/07/2024,Ball,Labour,0,What steps do we take to avoid fly tipping in the Borough?'
17/07/2024,Borella,Labour,0,"Will the Leader join me in thanking the Elections Team for their hard work in preparing for the General Election, polling day and for the administration of the count on the 4th of July?"
17/07/2024,Borella,Labour,0,Will the Leader join in me in thanking the police for their work on polling day?
17/07/2024,Borella,Labour,0,"Since the law changed regarding overseas voters, what is the cost to the Council of receiving postal votes from abroad?"
17/07/2024,Day,Labour,0,"What representations did the Council make to JSM the contractor doing the cabling works along the Northend Road, which have caused massive disruption to residents and businesses?"
17/07/2024,Ferguson,Labour,0,When will Bexley have to apply to central government for a capitalisation order during this financial year?
17/07/2024,Ferguson,Labour,0,Could the Cabinet Member for Communities and Housing say what benefit a Borough based policing structure would be to Bexley?
17/07/2024,Gill,Labour,0,Has the Cabinet Member yet found time to consider free parking for an hour in targeted car parks to help promote local high streets and small businesses?
17/07/2024,Gill,Labour,0,Can you provide an update on the human rights analysis used when selecting which pension pots to invest in?
17/07/2024,Hinkley,Labour,0,Will the Cabinet Member join me in congratulating the Mayor of London for introducing the fully electric 132 bus route into Bexley?
17/07/2024,Hunt,Conservatives,0,Can the Cabinet Member for Resources give us his assessment of the outcome of the General Election on local government finance?
17/07/2024,Moore,Conservatives,0,"Given reported falling school rolls across London, can the Cabinet Member for Education, provide an assessment of the likely impact in Bexley?"
17/07/2024,Nicola Taylor,Labour,1,When will the future plans for the now vacant Inspire Centre be shared with Members?
17/07/2024,Ogundayo,Labour,0,"Why do we have 36 vacant school crossing patrol sites in the Borough, putting at risk the safety of schoolchildren?"
17/07/2024,O'Hare,Conservatives,0,Will the Cabinet Member for Neighbourhoods update Council on measures being taken by the Council to further reduce littering and fly-tipping across Bexley?
17/07/2024,Perfect,Labour,0,Does the Cabinet Member believe that the Council has acted reasonably during the 2024/25 financial year in relation to the payment of Direct Payments made by the Children with Disabilities Service?
17/07/2024,Perfect,Labour,0,"How are we progressing in making sure EHC plans are completed and issued in a timely way to better reflect the needs and provision for the child or young person across health, education and social care?"
17/07/2024,Perfect,Labour,0,What is being done to ensure that more Bexley children are accepted into the grammar schools that are based in Bexley?
17/07/2024,Read,Conservatives,0,Could the Cabinet Member for Children’s Services provide an update on the recent inspection of Bexley’s Youth Justice Service?
17/07/2024,Slaughter,Conservatives,0,"As Bexley is seeing an increase in the number of HMO applications, could the Cabinet Member for Place Shaping please update us on the number of HMO applications submitted this year, compared with the previous two years?"
17/07/2024,Ward-Wilson,Conservatives,0,Can the Cabinet Member for Adults’ Services and Health update us on the recent event held in Bexley to support carers?
02/11/2022,Hunt,Conservatives,0,Would the Cabinet Member agree that the new enhanced access to GP's will deliver better service for residents?
02/11/2022,Carew,Conservatives,0,Is the Cabinet Member committed to supporting the Obesity Strategy?
02/11/2022,Nicola Taylor,Labour,0,"Could the Cabinet Member please update Members on the impact of rising building costs, rising inflation, housing market slowdown on the projected dividend from BexleyCo post 2024/25?"
02/11/2024,Asunramu,Labour,0,Can the Cabinet Member provide an update on the safety valve programme?
02/11/2024,Day,Labour,0,Could the Cabinet Member please outline what projects LBB has done in way of income maximisation for residents?
02/11/2024,Craske,Conservatives,0,Can the Cabinet Member for Adult Services and Health outline the Council’s response to the Government cutting the Winter Fuel Allowance for our pensioners?
02/11/2024,Smith,Conservatives,0,Will the Cabinet Member for Neighbourhoods update the Council on progress in improving recycling rates in Bexley?
02/11/2024,Fosten,Labour,1,Does the Leader back the campaign I ran during the by election to get Thameslink services to stop at Belvedere and Erith stations?
02/11/2024,Amaning,Labour,0,Will the Cabinet Member confirm when he will consider the merits in getting us to be an Autism Friendly Borough by seeking an autism accreditation through the National Autistic Society?
02/11/2024,Reader,Conservatives,0,Will the Cabinet Member for Resources provide an update on the delivery of the fifth round of the Household Support Fund and plans for the delivery of the sixth round of the Household Support Fund?
02/11/2024,Moore,Conservatives,0,Will the Cabinet Member for Education please update the Council on the progress of the building of Shenstone Secondary School?
02/11/2024,Ferguson,Labour,0,"We all take pride in Bexley's greenery, so why is it that from 2016/17 to 2023/24, across highways and parks, the Council felled 1,078 more trees than it planted contrary to the Council's aims?"
02/11/2024,Amaning,Labour,0,Will the Cabinet Member confirm when he will consider the merits in getting us to be an Autism Friendly Borough by seeking an autism accreditation through the National Autistic Society?
02/11/2024,Reader,Conservatives,0,Will the Cabinet Member for Resources provide an update on the delivery of the fifth round of the Household Support Fund and plans for the delivery of the sixth round of the Household Support Fund?
02/11/2024,Moore,Conservatives,0,Will the Cabinet Member for Education please update the Council on the progress of the building of Shenstone Secondary School?
02/11/2024,Day,Labour,0,Why haven’t all Council Tax paying residents not received any communications regarding the consultation on potential changes to this scheme CTRS (Council tax Reduction Scheme)?
02/11/2024,Smith,Conservatives,0,Could the Cabinet Member for Place Shaping please update us on how the proposed changes to the national Planning Policy Framework could impact Bexley’s character and green belt?
02/11/2024,Carew,Conservatives,0,Can the Cabinet Member for Adults’ Services and Health provide an update on work going on following the recent Peer Review in preparation for a future CQC inspection?
02/11/2024,Amaning,Labour,0,"Following the recent arson attacks in Belvedere, what work is the Council undertaking to work with key partners to improve public confidence and allay residents’ fears?"
02/11/2024,Amaning,Labour,0,Could the Cabinet Member provide details of recorded fly tipping incidents across the Borough and the follow up actions?
02/11/2024,Read,Conservatives,0,Will the Cabinet Member for Resources give us his assessment of the financial impact on local government finances of announcements made by the Government in the Budget on 30 October 2024?
02/11/2024,Curtois,Conservatives,0,Will the Cabinet Member for Resources provide an update on the implementation and delivery of the Customer Experience Strategy
02/11/2024,Borella,Labour,0,Will the Leader join me in congratulating Cllr. Jeremy Fosten on his victory in the recent Belvedere by election?
02/11/2024,Amaning,Labour,0,Is the Cabinet Member confident that the recently agreed Autism Strategy will align effectively with Preparing for Adulthood and the SEND Strategy within existing resources?
02/11/2024,Hunt,Conservatives,0,Could the Cabinet Member for Place Shaping please update us on our Celebrating Bexley plans?
02/11/2024,Ward-Wilson,Conservatives,0,Can the Cabinet Member for Adults’ Services and Health provide an update on our Autism Strategy?
02/11/2024,Ferguson,Labour,0,"Will the Cabinet Member acknowledge that with many complaints from residents about the Fix My Street app, this is hampering efforts by residents and Council staff to keep Bexley clean in the fight against fly-tipping, litter and waste, and that is the real reason the app is having to be changed as it is not working for Bexley residents?"
02/11/2024,Gill,Labour,1,"Could the Cabinet Member update Members on what is the income from overnight parking charges and PCNs issued in Mill Road Car Park, Northumberland Heath?"
02/11/2024,Jackson,Conservatives,0,Can the Cabinet Member for Resources give us an update on the implementation and delivery of the People Strategy 2024-2028?
02/11/2024,O'Hare,Conservatives,0,Could the Cabinet Member for Children’s Services explain the funding formula for the Bexley Youth Justice Service?
02/11/2024,Asunramu,Labour,0,"Could the Cabinet Member provide an update on the number of EHCP requests we have for children across the Borough, providing a breakdown of where these requests are coming from?"
02/11/2024,Asunramu,Labour,0,"Can the Cabinet Member for Children’s Services provide an update on how many families with children we have in temporary accommodation, including how long families with children have been waiting to be permanently placed in suitable accommodation?"
02/11/2024,Ward-Wilson,Conservatives,0,Can the Cabinet Member for Adults’ Services and Health update us on the recent Ageing Well Event?
02/11/2024,Catterall,Conservatives,0,Can the Cabinet Member for Communities & Housing tell us what the local authority and partners are doing to address Modern Day Slavery in Bexley?
02/11/2024,Day,Labour,1,Could the Cabinet Member confirm when residents in roads around primary schools in Slade Green are likely to be consulted and to be included in the next tranche of pedestrian crossings?
02/11/2024,Asunramu,Labour,0,Why are the Council refusing the offer from Peabody to house residents presently in temporary accommodation?
02/11/2024,Hinkley,Labour,0,What plans are there for the Council to commemorate White Ribbon Day on 25 November?
02/11/2024,Borella,Labour,0,Does the Cabinet Member support measures by the Government to increase funding and improve quality of state education and expand early years care?
16/07/2025,Day,Labour,0,"With zero affordable homes started in 2024/25, are the administration proud that Bexley has ranked bottom of the GLA's league table for affordable housing starts?"
16/07/2025,Ball,Labour,0,Will the Cabinet Member commend the 7 London Authorities who have made it into the top 10 in the country for their work on climate change?
16/07/2025,Curtois,Conservatives,0,Will the Cabinet Member for Place Shaping join me in welcoming BBE to the Civic offices?
16/07/2025,Slaughter,Conservatives,0,I would like to ask the Cabinet Member for Neighbourhoods for an update on the programme for expanding the provision of litter bins across Bexley.
16/07/2025,Borella,Labour,0,"With Parkside community centre being flattened recently, does the Cabinet Member still think there is no reason to change the model of community centre delivery?"
16/07/2025,Day,Labour,0,Could the Cabinet Member update Members on the innovations and safety of the chemicals used in the weed spraying schedule across Bexley?
16/07/2025,O'Hare,Conservatives,0,Can I ask the Cabinet Member for Resources for his assessment of the impact of the Spending Review on the London Borough of Bexley and local government finances?
16/07/2025,Moore,Conservatives,0,Would the Cabinet Member for Education provide an update on the delivery of the SEND priority action plan across the local area partnership in Bexley?
16/07/2025,Hinkley,Labour,0,Can the Cabinet Member provide an update on the locations for the new CCTV cameras?
16/07/2025,Gill,Labour,1,Would the Cabinet Member investigate introducing a one-way system on the section of Brook Street from Belmont Road to Erith Road to address traffic paths for lorries entering the Hovis bakery to alleviate the traffic congestion along this road?
16/07/2025,Curtois,Conservatives,0,Can the Cabinet Member for Communities and Housing comment on homelessness prevention in Bexley?
16/07/2025,Jackson,Conservatives,0,Will the Cabinet Member for Resources give his assessment and analysis of the consultation on the future of local government finance and the Government's plans to redistribute funding?
16/07/2025,Asunramu,Labour,0,"What has the Council done to safeguard parks and open spaces in light of the hot weather this summer to ensure minimal damage and risk if there is a fire, after recently the LFB London Fire brigade called for Councils to put safeguards in place to prevent wildfires?"
16/07/2025,Amaning,Labour,0,Will the Cabinet Member commend the Government for extending free school meals to those on Universal Credit?
16/07/2025,Ward-Wilson,Conservatives,0,Can the Cabinet Member for Adults' Services and Health update us on the progress of the South East London Ageing Well Framework?
16/07/2025,Moore,Conservatives,0,Would the Cabinet Member for Education confirm what impact the changes to the Ofsted Framework have had on inspections of schools in Bexley?
16/07/2025,Fosten,Labour,0,Does the Cabinet Member welcome the £110m investment to three Bexley schools to fix urgent building issues?
16/07/2025,Ball,Labour,0,Is the Cabinet Member for Resources still confident Bexley will balance its books in the next 3 years?
16/07/2025,Read,Conservatives,0,Can the Cabinet Member for Adults' Services and Health update us on the recent Carers Event?
16/07/2025,Moore,Conservatives,0,Could the Cabinet Member provide an overview of the work Bexley is doing to be well placed to deliver the reforms proposed in the Children's Wellbeing and Schools Bill?
16/07/2025,Fosten,Labour,0,Does the Cabinet Member welcome the extension of the statutory override until March 2028?
16/07/2025,Asunramu,Labour,0,Can the Council detail their process for putting families who are homeless in emergency temporary accommodation?
16/07/2025,Slaughter,Conservatives,0,Can I ask the Cabinet Member for Neighbourhoods for an update on the School Waste Action Club programme in Bexley?
16/07/2025,Reader,Conservatives,0,Would the Cabinet Member for Communities and Housing please give some information on the activities being offered within our libraries this summer?
16/07/2025,Asunramu,Labour,0,"What safeguards and measure has the Council put in place to protect people, in particular young people from swimming in lakes around the Borough?"
16/07/2025,Asunramu,Labour,1,What are the Council's aspirations to improve youth provision and clubs in Bexley and in particular Thamesmead East?
16/07/2025,Bacon,Conservatives,0,Can the Cabinet Member for Neighbourhoods give an updated report on the use of leisure centres in Bexley?
16/07/2025,Moore,Conservatives,0,Could the Cabinet Member for Children give an update on the success of the Bexley Foster Care Fortnight held in May?
16/07/2025,Fosten,Labour,1,Could the Cabinet Member update Members on the tender process for Belvedere Community Centre?
16/07/2025,Borella,Labour,0,Could the Cabinet Member confirm that the BexleyCo Burr Farm planning application is listed as in Bexleyheath ward for determination?
16/07/2025,Carew,Conservatives,0,Can the Cabinet Member for Adults' Services and Health provide an update on the Mental Health Ambassadors Programme?
16/07/2025,Carew,Conservatives,0,Can the Cabinet Member for Adults' Services and Health provide an update on the ongoing work around our Autism Strategy?
16/07/2025,Borella,Labour,0,"Does the Leader welcome the support from the Labour Government to the estimated 26,000 households in Bexley will now receive an extra £150 to help cover their costs from the warm homes discount fund?"
16/07/2025,Borella,Labour,0,"Could the Leader of the Council state how many times she press-released a letter sent to Conservative Chancellors calling for more funding for Bexley, over the 14 years of last Conservative Government?"
16/07/2025,Ward-Wilson,Conservatives,0,Can the Cabinet Member for Adults' Services and Health provide an update on the Bexley Healthy Weight Strategic Partnership?
16/07/2025,O'Hare,Conservatives,0,Would the Cabinet Member for Communities and Housing please provide an update on the work being done to address modern day slavery?
16/07/2025,Ogundayo,Labour,0,"Would you consider introducing a community CIL fund, which would take a proportion of the CIL funding brought in from developments and give it back as grants that residents and community groups in the local area can apply for to improve the local area?"
16/07/2025,Ferguson,Labour,1,"What actions is the Cabinet Member taking to ensure motorists who drive along Carlyle Road between the Boilerhouse roundabout and the Harrow Manorway roundabout above Eastern Way where the streetlights haven't been working for a year don't have to continue driving in dangerously dark conditions at night?
Ferguson,What sustained measures are being taken by the Council to help promote Crossness engines"
16/07/2025,Amaning,Labour,0,Does the Cabinet Member welcome schools in Bexley banning the use of mobile phones?
